country,week,cases,log_cum_cases,first_diff_log_cases,week_count,country_factor,Afghanistan_indicator,Albania_indicator,Algeria_indicator,Andorra_indicator,Angola_indicator,Argentina_indicator,Armenia_indicator,Australia_indicator,Austria_indicator,Azerbaijan_indicator,Bahamas_indicator,Bahrain_indicator,Bangladesh_indicator,Barbados_indicator,Belarus_indicator,Belgium_indicator,Benin_indicator,Bhutan_indicator,Bolivia_indicator,Bosnia and Herzegovina_indicator,Botswana_indicator,Brazil_indicator,Brunei_indicator,Bulgaria_indicator,Burkina Faso_indicator,Burma_indicator,Burundi_indicator,Cabo Verde_indicator,Cambodia_indicator,Cameroon_indicator,Canada_indicator,Central African Republic_indicator,Chad_indicator,Chile_indicator,China_indicator,Colombia_indicator,Comoros_indicator,Congo (Brazzaville)_indicator,Congo (Kinshasa)_indicator,Costa Rica_indicator,Cote d'Ivoire_indicator,Croatia_indicator,Cuba_indicator,Cyprus_indicator,Czechia_indicator,Denmark_indicator,Diamond Princess_indicator,Djibouti_indicator,Dominican Republic_indicator,Ecuador_indicator,Egypt_indicator,El Salvador_indicator,Equatorial Guinea_indicator,Eritrea_indicator,Estonia_indicator,Eswatini_indicator,Ethiopia_indicator,Finland_indicator,France_indicator,Gabon_indicator,Gambia_indicator,Georgia_indicator,Germany_indicator,Ghana_indicator,Greece_indicator,Guatemala_indicator,Guinea_indicator,Guinea-Bissau_indicator,Guyana_indicator,Haiti_indicator,Honduras_indicator,Hungary_indicator,Iceland_indicator,India_indicator,Indonesia_indicator,Iran_indicator,Iraq_indicator,Ireland_indicator,Israel_indicator,Italy_indicator,Jamaica_indicator,Japan_indicator,Jordan_indicator,Kazakhstan_indicator,Kenya_indicator,"Korea, South_indicator",Kosovo_indicator,Kuwait_indicator,Kyrgyzstan_indicator,Latvia_indicator,Lebanon_indicator,Lesotho_indicator,Liberia_indicator,Libya_indicator,Lithuania_indicator,Luxembourg_indicator,Madagascar_indicator,Malawi_indicator,Malaysia_indicator,Maldives_indicator,Mali_indicator,Malta_indicator,Mauritania_indicator,Mauritius_indicator,Mexico_indicator,Moldova_indicator,Monaco_indicator,Mongolia_indicator,Montenegro_indicator,Morocco_indicator,Mozambique_indicator,Namibia_indicator,Nepal_indicator,Netherlands_indicator,New Zealand_indicator,Nicaragua_indicator,Niger_indicator,Nigeria_indicator,North Macedonia_indicator,Norway_indicator,Oman_indicator,Pakistan_indicator,Panama_indicator,Paraguay_indicator,Peru_indicator,Philippines_indicator,Poland_indicator,Portugal_indicator,Qatar_indicator,Romania_indicator,Russia_indicator,Rwanda_indicator,San Marino_indicator,Sao Tome and Principe_indicator,Saudi Arabia_indicator,Senegal_indicator,Serbia_indicator,Seychelles_indicator,Sierra Leone_indicator,Singapore_indicator,Slovakia_indicator,Slovenia_indicator,Somalia_indicator,South Africa_indicator,South Sudan_indicator,Spain_indicator,Sri Lanka_indicator,Sudan_indicator,Suriname_indicator,Sweden_indicator,Switzerland_indicator,Syria_indicator,Taiwan*_indicator,Tajikistan_indicator,Tanzania_indicator,Thailand_indicator,Togo_indicator,Trinidad and Tobago_indicator,Tunisia_indicator,Turkey_indicator,Uganda_indicator,Ukraine_indicator,United Arab Emirates_indicator,United Kingdom_indicator,Uruguay_indicator,US_indicator,Uzbekistan_indicator,Venezuela_indicator,Vietnam_indicator,West Bank and Gaza_indicator,Yemen_indicator,Zambia_indicator,Zimbabwe_indicator,week_count_factor,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27
Afghanistan,9,174,5.159055299214529,0.8549902060103589,0,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,10,423,6.0473721790462776,0.8883168798317485,1,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,11,714,6.570882962339584,0.5235107832933066,2,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,12,1092,6.9957661563048505,0.4248831939652664,3,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,13,1828,7.510977752014095,0.5152115957092445,4,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,14,3224,8.07837810362652,0.5674003516124246,5,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,15,4963,8.50976567558744,0.43138757196092037,6,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,16,7653,8.942853006809921,0.433087331222481,7,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,17,11831,9.378478484253662,0.43562547744374136,8,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,18,16509,9.711660965727868,0.33318248147420526,9,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
